2025-05-18 10:52:23,566 INFO    MainThread:41497 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_setup.py:_flush():70] Configure stats pid to 41497
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_setup.py:_flush():70] Loading settings from /teamspace/studios/this_studio/.config/wandb/settings
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_setup.py:_flush():70] Loading settings from /teamspace/studios/this_studio/wandb/settings
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /teamspace/studios/this_studio/wandb/run-20250518_105223-7avo319t/logs/debug.log
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /teamspace/studios/this_studio/wandb/run-20250518_105223-7avo319t/logs/debug-internal.log
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_init.py:init():852] calling init triggers
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'experiment_dir': 'experiments/shape_model', 'device': 'cpu', 'data': {'root_dir': 'nuclei_sample_1a_v1', 'class_csv_path': 'chromatin_classes_and_samples_full.csv', 'num_points': 1024, 'cache_dir': 'data/mesh_cache', 'precomputed_dir': None}, 'loader': {'batch_size': 2, 'shuffle': True, 'num_workers': 0}, 'model': {'name': 'DeepGCN', 'kwargs': {'in_channels': 6, 'channels': 64, 'out_channels': 64, 'k': 12, 'norm': 'batch', 'act': 'relu', 'n_blocks': 14, 'projection_head': True, 'use_dilation': True}}, 'optimizer': {'name': 'Adam', 'kwargs': {'lr': 0.001, 'weight_decay': 0.0001}}, 'criterion': {'name': 'ContrastiveLoss', 'kwargs': {'pos_margin': 0, 'neg_margin': 1, 'distance': {'function': 'CosineSimilarity'}}}, 'training': {'validate_every': 1, 'epochs': 50, 'checkpoint_every': 1}, 'scheduler': {'step_size': 15, 'gamma': 0.5}, 'use_wandb': True, 'wandb_project': 'Chromatin', 'wandb_run_name': 'shape_model_training', 'output': {'checkpoint_dir': 'experiments/shape_model/checkpoints', 'log_dir': 'experiments/shape_model/logs', 'save_every': 5}, '_wandb': {}}
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_init.py:init():893] starting backend
2025-05-18 10:52:23,567 INFO    MainThread:41497 [wandb_init.py:init():897] sending inform_init request
2025-05-18 10:52:23,621 INFO    MainThread:41497 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-18 10:52:23,621 INFO    MainThread:41497 [wandb_init.py:init():907] backend started and connected
2025-05-18 10:52:23,623 INFO    MainThread:41497 [wandb_init.py:init():1005] updated telemetry
2025-05-18 10:52:23,644 INFO    MainThread:41497 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-18 10:52:23,910 INFO    MainThread:41497 [wandb_init.py:init():1104] starting run threads in backend
2025-05-18 10:52:24,019 INFO    MainThread:41497 [wandb_run.py:_console_start():2573] atexit reg
2025-05-18 10:52:24,019 INFO    MainThread:41497 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-18 10:52:24,020 INFO    MainThread:41497 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-18 10:52:24,020 INFO    MainThread:41497 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-18 10:52:24,022 INFO    MainThread:41497 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-18 11:12:05,734 INFO    MainThread:41497 [wandb_run.py:_finish():2321] finishing run realalimikaeili-tehran-university-of-medical-sciences/Chromatin/7avo319t
2025-05-18 11:12:05,734 INFO    MainThread:41497 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 1
2025-05-18 11:12:05,734 INFO    MainThread:41497 [wandb_run.py:_restore():2520] restore
2025-05-18 11:12:05,734 INFO    MainThread:41497 [wandb_run.py:_restore():2526] restore done
2025-05-18 11:12:06,249 INFO    MainThread:41497 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-05-18 11:12:06,250 INFO    MainThread:41497 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-05-18 11:12:06,250 INFO    MainThread:41497 [wandb_run.py:_footer_sync_info():4149] logging synced files
